listing_id,date
140269,2013-01-07
140269,2013-02-18
140269,2013-03-05
140269,2013-03-17
140269,2013-03-25
140269,2013-04-14
140269,2013-04-21
140269,2013-04-25
140269,2013-05-01
140269,2013-05-06
140269,2013-05-14
140269,2013-05-31
140269,2013-06-06
140269,2013-08-26
140269,2013-09-09
140269,2013-09-30
140269,2013-10-19
140269,2013-10-27
140269,2013-11-19
140269,2013-11-26
140269,2013-12-09
140269,2013-12-30
140269,2014-03-12
140269,2014-03-25
140269,2014-04-03
140269,2014-04-07
140269,2014-04-22
140269,2014-04-28
140269,2014-05-07
140269,2014-05-13
140269,2014-05-26
140269,2014-06-02
140269,2014-06-06
140269,2014-06-09
140269,2014-06-18
140269,2014-06-22
140269,2014-06-26
140269,2014-07-07
140269,2014-08-01
140269,2014-08-07
140269,2014-08-25
140269,2014-09-08
140269,2014-09-14
140269,2014-09-22
140269,2014-09-28
140269,2014-10-07
140269,2014-10-13
140269,2014-10-17
140269,2014-10-23
140269,2014-10-26
140269,2014-11-02
140269,2014-11-09
140269,2015-01-02
140269,2015-02-23
140269,2015-03-14
140269,2015-04-04
140269,2015-04-20
140269,2015-04-26
140269,2015-05-04
140269,2015-05-10
140269,2015-05-17
140269,2015-05-24
140269,2015-05-29
140269,2015-06-08
140269,2015-06-11
140269,2015-06-17
140269,2015-06-24
140269,2015-06-29
140269,2015-07-06
140269,2015-08-11
140269,2015-11-14
140269,2015-12-27
140269,2019-03-01
140952,2014-10-12
140952,2015-04-07
140952,2015-05-11
140952,2015-05-30
140952,2016-03-22
140952,2016-05-06
140952,2016-07-25
140952,2017-01-10
155757,2011-08-27
155757,2011-10-10
155757,2011-10-17
155757,2011-10-24
155757,2011-11-15
155757,2011-12-27
155757,2012-01-12
155757,2012-12-13
155757,2013-08-01
155757,2013-10-30
155757,2013-11-07
155757,2014-03-22
155757,2014-04-15
155757,2014-05-15
155757,2014-10-04
160809,2011-08-29
160809,2011-09-23
160809,2011-11-09
160809,2012-01-08
160809,2012-04-05
160809,2012-05-18
160809,2012-09-19
160809,2012-09-29
160809,2013-05-13
160809,2013-09-16
160809,2014-12-01
160809,2015-05-07
160809,2015-10-06
161361,2011-08-03
161361,2011-08-10
161361,2011-09-05
161361,2011-10-12
161361,2011-10-17
161361,2012-01-03
161361,2012-03-17
161361,2012-03-25
161361,2012-04-02
161361,2012-04-12
161361,2012-04-23
161361,2012-05-03
161361,2012-07-05
161361,2012-08-08
161361,2012-08-30
161361,2012-09-18
161361,2013-03-19
161361,2013-04-10
161361,2013-04-15
161361,2013-04-23
161361,2013-05-28
161361,2013-06-04
161361,2013-06-25
161361,2013-09-13
161361,2013-09-25
161361,2013-10-08
161361,2013-10-16
161361,2013-10-22
161361,2013-10-31
161361,2013-11-15
161361,2013-12-09
161361,2013-12-16
161361,2013-12-25
161361,2014-01-03
161361,2014-05-05
161361,2014-05-10
161361,2014-05-15
161361,2014-05-22
161361,2014-05-26
161361,2014-06-04
161361,2014-06-17
161361,2014-07-24
161361,2014-08-11
161361,2014-09-09
161361,2014-09-13
161361,2014-09-25
161361,2014-10-06
161361,2014-10-20
161361,2014-10-30
161361,2015-04-12
161361,2015-05-19
161361,2015-05-30
161361,2015-06-27
161361,2015-08-13
161361,2015-10-07
161361,2015-10-10
161361,2017-04-17
161361,2017-10-10
161361,2017-11-17
161361,2018-09-20
161361,2019-06-09
161361,2019-06-19
162180,2011-09-25
166265,2013-03-27
166265,2013-06-03
166265,2014-03-30
166265,2014-04-01
166265,2014-04-28
166265,2014-05-10
166265,2014-05-20
166265,2014-06-10
166265,2014-07-22
166265,2014-08-27
166265,2014-09-07
166265,2014-09-27
166265,2014-10-02
166265,2014-10-05
166265,2014-10-15
166265,2014-10-27
166265,2014-11-02
166265,2014-11-11
166265,2014-11-23
166265,2014-12-08
166265,2015-01-25
166265,2015-02-03
166265,2015-02-19
166265,2015-03-15
166265,2015-03-30
166265,2015-04-06
166265,2015-04-24
166265,2015-05-03
166265,2015-05-13
166265,2015-05-17
166265,2015-06-04
166265,2015-06-10
166265,2015-06-22
166265,2015-07-09
166265,2015-09-22
166265,2015-09-24
166265,2015-10-12
166265,2016-02-22
166265,2016-03-09
166265,2016-03-15
166265,2016-03-22
166265,2016-05-04
166265,2016-05-08
166265,2016-05-13
166265,2016-05-17
166265,2016-05-22
166265,2016-05-26
166265,2016-05-31
166265,2016-06-05
166265,2016-06-12
166265,2016-06-26
166265,2016-07-04
166265,2016-07-08
166265,2016-07-13
166265,2016-07-16
166265,2016-08-05
166265,2016-08-18
166265,2016-09-01
166265,2016-10-29
166265,2016-11-14
166265,2016-11-17
166265,2016-12-03
166265,2016-12-12
166265,2016-12-19
166265,2017-01-26
166265,2017-02-06
166265,2017-02-16
166265,2017-03-07
166265,2017-04-17
166265,2017-05-27
166265,2017-07-29
166265,2017-08-05
166265,2017-08-10
166265,2017-08-13
166265,2017-08-17
166265,2017-09-05
166265,2017-10-02
166265,2017-10-08
166265,2017-10-16
166265,2017-10-31
166265,2017-11-12
166265,2017-12-11
166265,2018-01-30
166265,2018-02-03
166265,2018-02-12
166265,2018-03-12
166265,2018-03-18
166265,2018-04-02
166265,2018-04-05
166265,2018-04-09
166265,2018-04-24
166265,2018-05-01
166265,2018-05-11
166265,2018-05-15
166265,2018-05-22
166265,2018-05-28
166265,2018-06-20
166265,2018-06-23
166265,2018-07-03
166265,2018-07-13
166265,2018-08-02
166265,2018-08-04
166265,2018-09-28
166265,2018-09-30
166265,2018-10-02
166265,2018-10-14
166265,2018-10-22
166265,2018-10-29
166265,2018-11-06
166265,2018-11-17
166265,2018-12-02
166265,2018-12-06
166265,2018-12-10
166265,2018-12-21
166265,2018-12-27
166265,2019-01-02
166265,2019-01-13
166265,2019-01-19
166265,2019-01-26
166265,2019-03-04
166265,2019-03-09
166265,2019-03-24
166265,2019-04-14
166265,2019-04-22
166265,2019-06-05
166265,2019-06-08
166265,2019-06-18
170150,2011-11-11
170150,2012-05-25
170150,2012-06-18
170150,2012-10-11
170150,2012-11-30
170150,2013-01-08
170150,2013-04-08
170150,2013-04-14
170150,2013-05-12
170150,2013-05-28
170150,2013-06-30
170150,2013-07-03
170150,2013-08-06
170150,2013-08-28
170150,2013-09-04
170150,2013-09-22
170150,2013-09-29
170150,2013-11-09
170150,2014-01-28
170150,2014-03-16
170150,2014-04-30
170150,2014-05-12
170150,2014-05-17
170150,2014-08-23
170150,2014-09-14
170150,2014-09-20
170150,2014-09-24
170150,2014-10-06
170150,2014-10-13
170150,2014-11-22
170150,2014-12-29
170150,2015-01-02
170150,2015-02-20
170150,2015-03-18
170150,2015-03-23
170150,2015-04-05
170150,2015-07-14
170150,2015-08-22
170150,2015-08-25
170150,2015-08-29
170150,2015-09-05
170150,2015-09-09
170150,2015-09-26
170150,2015-10-21
170150,2015-11-06
170150,2015-11-16
170150,2015-12-10
170150,2015-12-13
170150,2015-12-26
170150,2016-02-22
170150,2016-03-26
170150,2016-04-02
170150,2016-04-06
170150,2016-04-15
170150,2016-04-29
170150,2016-05-01
170150,2016-05-12
170150,2016-08-02
170150,2016-08-10
170150,2016-08-31
170150,2016-11-08
170150,2016-12-03
170150,2017-01-13
170150,2017-08-20
170150,2017-10-10
170150,2017-10-18
170150,2017-12-05
170150,2017-12-25
170150,2018-06-30
170150,2018-08-26
170150,2018-09-21
170150,2018-11-03
170150,2018-11-24
170150,2019-01-12
170150,2019-02-12
170150,2019-04-14
170150,2019-04-24
170150,2019-05-17
170150,2019-05-27
170150,2019-06-08
170150,2019-06-14
171593,2011-09-19
171593,2011-10-05
171593,2012-01-07
175213,2011-09-25
175213,2011-10-01
175213,2011-10-07
175213,2011-10-12
175213,2011-10-18
175213,2011-10-29
175213,2011-11-02
175213,2011-11-06
175213,2011-11-13
175213,2012-01-06
175213,2012-01-15
175213,2012-01-24
175213,2012-01-31
175213,2012-02-11
175213,2012-02-18
175213,2012-03-02
175213,2012-03-06
175213,2012-03-13
175213,2012-03-21
175213,2012-03-27
175213,2012-04-12
175213,2012-04-15
175213,2012-05-01
175213,2012-05-27
175213,2012-06-28
175213,2012-07-13
175213,2012-09-10
175213,2012-09-30
175213,2012-10-08
175213,2012-10-17
175213,2012-11-28
175213,2012-12-24
175213,2013-05-16
175213,2013-05-29
175213,2015-08-08
178868,2011-08-08
178868,2011-09-19
178868,2011-10-03
178868,2011-10-09
178868,2011-10-18
178868,2011-11-23
178868,2012-04-12
178868,2012-05-01
178868,2012-08-28
178868,2012-09-04
178868,2012-12-18
178868,2013-06-28
178868,2013-10-05
178868,2013-11-02
178868,2013-11-09
178868,2013-11-15
178868,2014-03-03
178868,2014-03-19
178868,2014-03-31
178868,2014-04-16
178868,2014-05-07
178868,2014-05-23
178868,2014-07-03
178868,2014-07-13
178868,2014-08-12
178868,2014-08-26
178868,2014-09-29
178868,2014-10-26
178868,2014-11-02
178868,2014-11-09
178868,2015-06-12
178868,2015-06-30
178868,2015-07-14
178868,2015-08-02
178868,2015-08-09
178868,2015-09-21
178868,2015-10-13
178868,2015-12-31
181146,2011-10-01
181146,2012-03-21
181146,2012-04-27
181146,2012-05-14
181146,2012-05-21
181146,2012-06-19
181146,2012-06-30
181146,2012-07-08
181146,2012-07-17
181146,2012-08-02
181146,2012-08-31
181146,2012-10-31
181146,2012-11-05
181146,2012-11-10
181146,2012-11-16
181146,2012-11-22
181146,2013-04-13
181146,2013-05-05
181146,2013-05-12
181146,2013-05-27
181146,2013-06-04
181146,2013-06-08
181146,2013-06-17
181146,2013-06-30
181146,2013-08-05
181146,2013-09-17
181146,2013-11-13
181146,2014-05-14
181146,2014-06-03
181146,2014-06-10
181146,2014-08-03
181146,2015-05-04
181146,2015-05-22
181146,2015-10-01
181146,2015-10-02
181146,2016-07-23
181146,2018-12-30
181146,2019-04-07
181146,2019-04-25
181146,2019-05-01
183804,2011-09-23
183804,2015-04-12
183804,2015-10-03
183804,2015-12-01
183804,2017-10-31
183804,2017-12-10
183804,2017-12-30
183804,2018-01-09
183804,2018-01-12
183804,2018-01-12
183804,2018-03-08
183804,2018-03-19
183804,2018-03-31
183804,2018-04-14
183804,2018-04-28
183804,2018-04-29
183804,2018-04-29
183804,2018-04-29
183804,2018-05-04
183804,2018-05-04
183804,2018-05-04
183804,2018-05-14
183804,2018-05-19
183804,2018-05-20
183804,2018-05-21
183804,2018-05-25
183804,2018-05-26
183804,2018-05-27
183804,2018-05-29
183804,2018-06-03
183804,2018-06-04
183804,2018-06-04
183804,2018-06-04
183804,2018-06-07
183804,2018-06-09
183804,2018-06-12
183804,2018-06-18
183804,2018-06-18
183804,2018-06-23
183804,2018-06-24
183804,2018-06-25
183804,2018-06-25
183804,2018-06-25
183804,2018-06-26
183804,2018-06-28
183804,2018-06-29
183804,2018-07-01
183804,2018-07-02
183804,2018-07-02
183804,2018-07-03
183804,2018-07-07
183804,2018-07-07
183804,2018-07-08
183804,2018-07-08
183804,2018-07-09
183804,2018-07-09
183804,2018-07-09
183804,2018-07-09
183804,2018-07-10
183804,2018-07-10
183804,2018-07-10
183804,2018-07-12
183804,2018-07-12
183804,2018-07-13
183804,2018-07-14
183804,2018-07-15
183804,2018-07-16
183804,2018-07-17
183804,2018-07-17
183804,2018-07-19
183804,2018-07-22
183804,2018-07-22
183804,2018-07-23
183804,2018-07-26
183804,2018-07-26
183804,2018-07-26
183804,2018-07-28
183804,2018-07-28
183804,2018-07-28
183804,2018-07-29
183804,2018-07-29
183804,2018-07-31
