id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2743887,Modern Cozy Flat Harbiye / Taksim,5360342,Ozan,,Sisli,41.0454,28.9843,Entire home/apt,295,2,7,2015-09-17,0.11,2,365
2754020,ELMADAG SUITES 3 MINUTES TO TAKSIM,10509967,Umit,,Sisli,41.04227,28.98498,Entire home/apt,636,5,0,,,6,365
2754604,Great Location /  Taksim - Cihangir,4207106,Özgür,,Beyoglu,41.03253,28.9843,Entire home/apt,491,1,1,2015-04-27,0.02,1,365
2755542,Studio Flat at Taksim Istanbul,14095128,Ozgur,,Beyoglu,41.03641,28.97355,Entire home/apt,393,3,0,,,1,365
2758734,Dublex flat in Besiktas f dailyrent,12949652,Dilek,,Besiktas,41.04704,28.99953,Private room,104,1,2,2014-09-25,0.03,2,365
2761753,"PerfectlyLocated,LovelyHome@Kalamis",12989550,Dogukan,,Kadikoy,40.98173,29.04293,Entire home/apt,2311,2,1,2015-02-25,0.02,2,365
2762690,Entire Flat with Swimming Pool/Panoramic Sea View,10788805,Sibel,,Maltepe,40.91152,29.1372,Private room,329,1,1,2018-09-28,0.11,1,365
2765272,besiktas private location,14144815,Erdem,,Besiktas,41.04586,29.01342,Shared room,127,1,0,,,1,362
2765534,Private Room in Üsküdar İstanbul,3358849,Murat,,Uskudar,41.0123,29.07841,Private room,75,2,5,2016-03-12,0.09,1,365
2767279,Room in centrum  Istanbul/Galata ,14152718,Hümeyra,,Beyoglu,41.02856,28.97742,Private room,231,5,0,,,1,365
2767391,CENTRAL AND ELEGANT STUDIO,13555560,Ali,,Sisli,41.05884,28.98612,Entire home/apt,220,30,30,2017-04-17,0.48,14,241
2767648,Amazing Bosphorus View in Cihangir,8316206,Gözde Mimiko,,Beyoglu,41.03241,28.98584,Private room,220,3,50,2019-06-08,0.79,1,31
2769571,"HİSTORİC , AMAZİNG AND SAFE...",14162324,Çağlar,,Uskudar,41.02616,29.02271,Private room,133,2,0,,,1,365
2781054,Cozy room with a view in Taksim,10867509,Bayram,,Beyoglu,41.03226,28.98098,Private room,52,1,0,,,1,0
2782145,Welcome to my home in Istanbul!,14229693,Shevkiye,,Kagithane,41.08517,29.00288,Private room,133,3,1,2015-03-20,0.02,1,365
2787408,istanbul taksim  beyoğlu,14233772,Şule,,Beyoglu,41.03217,28.97165,Private room,64,1,1,2018-09-06,0.10,1,365
2788802,Lovely Studio in Central Istanbul,11439128,Ayda B.,,Besiktas,41.05111,29.00668,Entire home/apt,173,2,45,2019-06-23,0.72,1,68
2790517,ECONOMIC DOUBLE ROOM,11288450,Malih,,Beyoglu,41.03632,28.98157,Private room,75,1,0,,,8,365
2790706,NICE DOUBLE ROOM IN TAKSIM,11288450,Malih,,Beyoglu,41.03677,28.98092,Private room,104,1,0,,,8,365
2790908,ECONOMIC DOUBLE ROOM IN TAKSIM,11288450,Malih,,Beyoglu,41.03684,28.98154,Private room,75,1,0,,,8,365
